,id,repo_id,contributor,contributions
726,,317887,brianchandotcom,317510
8690,,79564911,dkocher,34241
10705,,1614410,michaelni,29364
10700,,36502,gitster,26387
462,,206317,davsclaus,25011
426,,2489216,akozlova,23633
627,,2352744,mmoayyed,21603
727,,317887,ealonso,21415
798,,44662669,serge-rider,18764
10716,,569041,bagder,18539
452,,2493904,markt-asf,18314
427,,2489216,yole,17901
463,,206317,oscerd,17863
428,,2489216,develar,17855
10,,6296790,wilkinsona,17776
429,,2489216,donnerpeter,17318
430,,2489216,cdracm,17170
728,,317887,shuyangzhou,16497
6393,,60377070,baldersheim,16055
11,,6296790,snicoll,14572
291,,49876476,terrymanu,14569
2786,,11981144,danielnaber,14488
729,,317887,liferay-continuous-integration,14125
730,,317887,hhuijser,13417
2787,,11981144,jaumeortola,13274
3753,,1147463,jjallaire,12700
3277,,1625986,lukaseder,12641
3850,,26181278,yoshi-automation,12276
985,,89822531,Anuken,12221
10710,,1903522,dstogov,10760
4102,,1258570,vshcherb,10696
2528,,4992906,adangel,9547
10711,,1903522,nikic,9204
1361,,6650539,tinwelint,9037
292,,49876476,tristaZero,8731
3957,,283211901,yuliskov,8720
10712,,1903522,weltling,8546
3593,,10416648,dghgit,8372
1476,,764708,bstansberry,7968
15,,1148753,jhoeller,7821
2506,,7807399,benfry,7705
3764,,22486533,00-Evan,7625
321,,133134007,wing328,7571
1615,,688352,sebbASF,7560
3754,,1147463,kevinushey,7489
8355,,72889410,billpugh,7428
10726,,36836475,nicm,7340
2529,,4992906,oowekyala,7289
3115,,5663857,jeremylong,7238
3755,,1147463,jmcphers,7152
4103,,1258570,Chumva,7130
2788,,11981144,tiff,7127
10685,,156018,antirez,7037
2801,,3038937,cowtowncoder,6910
1807,,2045207,joakime,6812
3852,,26181278,gcf-owl-bot[bot],6786
3523,,100753606,ConfluentJenkins,6775
3085,,10038467,scottamain,6742
7730,,9342529,mfussenegger,6694
1184,,4038949,tananaev,6623
377,,66023605,scmacdon,6423
12,,6296790,philwebb,6387
10781,,7634677,levitte,6361
7105,,2158982,timowest,6304
6394,,60377070,jonmv,6249
1139,,139914932,geoand,6113
10680,,10744183,ktsaou,6081
3100,,17662022,ManfredKarrer,6068
183,,1103607,kohsuke,6028
736,,206424,jbellis,6026
10706,,1614410,mkver,6012
6395,,60377070,bjorncs,5987
1808,,2045207,gregw,5980
1041,,32895424,renovate-bot,5876
10707,,1614410,richardpl,5804
2816,,40213809,grzesiek2010,5779
3060,,64578459,fishercoder1534,5777
16,,1148753,sbrannen,5758
1867,,34039690,paulk-asert,5748
2243,,49662222,dougxc,5667
3341,,33745913,thomasmueller,5611
10695,,13233158,jp9000,5586
1951,,137013952,gedoor,5538
10708,,1614410,elenril,5535
827,,20089857,saintstack,5525
3559,,69027651,jamorham,5445
349,,20818126,ojw28,5440
3086,,10038467,sganov,5409
188,,2700159,wenshao,5394
1902,,2019791,nvoxland,5329
203,,7613257,shs96c,5326
3594,,10416648,peterdettman,5311
431,,57461213,Adam-,5298
686,,25459400,emeroad,5295
2974,,21180741,jamesagnew,5258
1809,,2045207,sbordet,5250
7348,,19647328,jindrapetrik,5146
2295,,10637896,garydgregory,5140
2034,,60561834,AndyScherzinger,5068
2817,,40213809,seadowg,5024
3087,,10038467,alanv,5021
2789,,11981144,marcoagpinto,4995
10811,,29759715,Cyan4973,4968
7716,,5722043,igr,4954
7470,,32761091,AlmasB,4936
3342,,33745913,katzyn,4924
1616,,688352,pmouawad,4915
2035,,60561834,tobiasKaminsky,4903
3095,,246464565,khanhduytran0,4896
3635,,39555898,sdk-team,4895
10713,,1903522,cmb69,4852
10782,,7634677,snhenson,4844
5860,,15155534,chadlwilson,4801
10714,,1903522,laruence,4783
31,,507775,kimchy,4781
1737,,1222504,julienlancelot,4769
3869,,124230204,graemerocher,4737
1362,,6650539,MishaDemianenko,4690
3756,,1147463,gtritchie,4685
10709,,1614410,DonDiego,4681
17,,1148753,rstoyanchev,4663
8356,,72889410,daveho,4645
6396,,60377070,mpolden,4588
301,,11125589,stianst,4567
2244,,49662222,chumer,4537
2699,,138194433,HaojunRen,4529
2360,,2624521,mbastian,4522
6397,,60377070,arnej27959,4491
7066,,7083240,lvca,4477
7509,,62161750,hneemann,4451
4034,,2067253,leonardehrenfried,4434
10701,,36502,peff,4416
2664,,16977479,dkulp,4394
441,,75277003,ikulikov,4383
10783,,7634677,mattcaswell,4373
2545,,108050,jyemin,4356
1078,,11008076,AngledLuffa,4353
367,,173228436,ryanmkurtz,4282
3088,,10038467,adamp,4260
3884,,671825,dennisoelkers,4248
1363,,6650539,pontusmelke,4244
464,,206317,orpiske,4243
3089,,10038467,deepanshu-,4231
7547,,83530209,mekya,4208
465,,206317,WillemJiang,4150
49,,1064563,trustin,4146
980,,7276954,apc999,4144
2080,,2446718,kay-kim,4125
7275,,6325420,sbrossie,4124
236,,18723836,looly,4123
1364,,6650539,nawroth,4105
1919,,3786237,mdogan,4084
2279,,506175118,FongMi,4081
7067,,7083240,tglman,4043
7110,,104254445,PhilippC,4016
2245,,49662222,zapster,4003
5,,132464395,Snailclimb,3999
8563,,2899580,smcvb,3989
1771,,81226206,ptrthomas,3952
877,,335164964,ziyujiahao,3925
184,,1103607,jglick,3884
1477,,764708,kabir,3873
4082,,341631350,rmuir,3841
3288,,4302287,plutext,3830
3776,,6275822,dreamhead,3822
1530,,2751199,aaime,3781
767,,961036,sebersole,3778
862,,501687,parrt,3774
7046,,7296244,Spasi,3758
4077,,5453324,alexander-doroshko,3734
1758,,3333998,timmolter,3718
10786,,37912398,igorsysoev,3683
4083,,341631350,mikemccand,3657
981,,7276954,calvinjia,3645
878,,335164964,fit2cloud-chenyw,3644
1365,,6650539,systay,3635
1284,,17634071,koppor,3605
6242,,98499283,Col-E,3575
3621,,26921116,haifengl,3572
2790,,11981144,milekpl,3528
2765,,5244445,ByteHamster,3518
3814,,8426406,jamesdbloom,3512
1738,,1222504,simonbrandhof,3503
10746,,102578345,coolsnowwolf,3484
1732,,2928948,azure-sdk,3448
1920,,3786237,pveentjer,3428
4035,,2067253,abyrd,3421
1219,,237867883,liuruibin,3417
10681,,10744183,netdatabot,3404
1478,,764708,pferraro,3402
4036,,2067253,t2gran,3386
1739,,1222504,stas-vilchik,3374
204,,7613257,barancev,3352
1471,,36817565,psiinon,3318
7378,,34685800,nedtwigg,3298
7041,,268006778,MuntashirAkon,3290
2993,,3743376,tdonohue,3280
4105,,1258570,sonora,3247
442,,75277003,ashvayka,3190
8612,,101408117,pshipton,3189
32,,507775,s1monw,3182
33,,507775,martijnvg,3165
326,,5373551,NathanSweet,3156
1472,,36817565,thc202,3152
2665,,16977479,coheigea,3148
1220,,237867883,AgAngle,3142
3467,,5193009,qii,3125
7068,,7083240,andrii0lomakin,3124
3050,,283325,ceki,3121
1835,,31006158,sboikov,3098
104,,75164823,vintagewang,3097
6383,,16378879,danieldietrich,3092
3942,,69400326,JimGalasyn,3032
3692,,15120144,federicoiosue,3014
558,,50904245,kennknowles,2998
3853,,26181278,chingor13,2992
1209,,6207167,mockitoguy,2990
3734,,9759448,rohityadavcloud,2989
3534,,18845024,blickly,2986
311,,45721011,wu-sheng,2986
34,,507775,nik9000,2972
1285,,17634071,Siedlerchr,2971
153,,126178683,ruibaby,2964
3544,,2675355,matozoid,2959
711,,12499251,romani,2939
4917,,156317154,robinshine,2935
737,,206424,driftx,2932
1099,,3301400,LexManos,2928
8707,,54298946,Zelldon,2909
1264,,1381673,mariofusco,2902
982,,7276954,aaudiber,2899
3483,,68675293,jishenghua,2899
8600,,37791069,ex3ndr,2881
932,,49850704,zhou-hao,2875
2246,,49662222,gilles-duboscq,2872
35,,507775,jasontedor,2858
50,,1064563,normanmaurer,2853
559,,50904245,robertwb,2851
7642,,9653752,yanas,2850
3517,,19257422,bluestreak01,2844
3101,,17662022,ripcurlx,2837
2247,,49662222,rschatz,2833
362,,3148979,tekul,2822
302,,11125589,patriot1burke,2818
3662,,27790789,rayokota,2817
392,,7010724,youyong205,2808
6232,,16389681,tomball,2798
2036,,60561834,nextcloud-bot,2754
4056,,745749,cbeust,2723
1265,,1381673,mdproctor,2720
1810,,2045207,janbartel,2719
8564,,2899580,abuijze,2712
5658,,42984727,mallowigi,2665
1921,,3786237,ahmetmircik,2658
1140,,139914932,stuartwdouglas,2611
10717,,569041,yangtse,2587
412,,5349565,electrum,2569
1079,,11008076,manning,2532
1221,,237867883,fit2-zhao,2529
8691,,79564911,ylangisc,2525
1868,,34039690,daniellansun,2522
363,,3148979,rwinch,2510
8558,,203150729,DevCharly,2485
2427,,4238977,dilipkrish,2481
7643,,9653752,damencho,2480
205,,7613257,jimevans,2478
1125,,206483,jvanzyl,2451
3870,,124230204,jameskleeh,2419
2684,,143175496,leijurv,2388
368,,173228436,ghidra1,2381
997,,13404515,brettwooldridge,2380
5795,,16621659,tmontgomery,2374
7069,,7083240,luigidellaquila,2372
1100,,3301400,cpw,2362
7539,,28836678,ashimokawa,2353
768,,961036,gavinking,2353
3859,,612587,MarkEWaite,2351
4106,,1258570,crimean,2348
413,,5349565,dain,2342
69,,20587599,zentol,2338
3187,,2948949,phillipuniverse,2333
453,,2493904,rmaucher,2328
5075,,16446099,overheadhunter,2328
1126,,206483,brettporter,2320
879,,335164964,XiaJunjie2020,2320
8708,,54298946,npepinpe,2303
10702,,36502,dscho,2292
8156,,76177416,lukas-krecan,2287
2828,,18511687,guusdk,2284
983,,7276954,haoyuan,2277
1811,,2045207,lachlan-roberts,2259
7276,,6325420,pierre,2257
5861,,15155534,ketan,2256
1386,,21193524,julianhyde,2234
1142,,139914932,gastaldi,2224
769,,961036,dreab8,2218
4078,,5453324,piotrtomiak,2213
5464,,19777812,seven332,2203
304,,11125589,mposolda,2175
7617,,142456757,Docile-Alligator,2167
1740,,1222504,sns-seb,2142
364,,3148979,jzheaux,2141
2033,,334274271,rjernst,2120
6910,,5453989,jankotek,2102
70,,20587599,tillrohrmann,2098
4084,,341631350,uschindler,2089
7705,,218396611,frankfliu,2087
2370,,21833183,VishalNehra,2082
1733,,2928948,jianghaolu,2073
2507,,7807399,codeanticode,2064
10731,,10446890,bbcallen,2062
7644,,9653752,emcho,2055
8148,,67836637,stevehu,2051
1692,,1962219,aslakhellesoy,2040
1882,,1011539,johanhaleby,2039
3055,,58194180,scholzj,2032
3545,,2675355,ftomassetti,2029
333,,11267509,sjudd,2029
4085,,341631350,markrmiller,2028
721,,5187976,dkayiwa,2025
219,,7508411,benjchristensen,2019
1869,,34039690,melix,2018
350,,20818126,tonihei,2016
1254,,50205233,jpechane,2007
2626,,206387,gtully,2004
8709,,54298946,deepthidevaki,1999
4086,,341631350,yonik,1997
777,,2349728,kevinsawicki,1992
327,,5373551,badlogic,1991
7349,,19647328,honfika,1988
2833,,867564,xian,1978
115,,20300177,cpovirk,1969
274,,919161,cmaglie,1961
3102,,17662022,chimp1984,1959
2039,,4084908,cmelchior,1954
10703,,36502,avar,1945
7270,,9056142,pron,1944
293,,49876476,tuohai666,1933
7056,,24217298,BFH-ktt1,1931
8399,,5797013,kermitt2,1922
2530,,4992906,jsotuyod,1918
5930,,37844001,huanghongxun,1918
10718,,569041,captain-caveman2k,1916
7398,,87859908,shakuzen,1914
1922,,3786237,Donnerbart,1898
1255,,50205233,Naros,1895
10682,,10744183,ilyam8,1891
3447,,77385607,dalaro,1888
10784,,7634677,paulidale,1882
979,,166515022,ebyhr,1882
863,,501687,sharwell,1879
1266,,1381673,etirelli,1874
322,,133134007,fehguy,1873
560,,50904245,lukecwik,1861
880,,335164964,dataeaseShu,1860
842,,19369035,damithc,1858
3757,,1147463,javierluraschi,1854
3804,,68240213,Orbiter,1845
2659,,312830970,648540858,1842
2609,,747512,richhickey,1836
1222,,237867883,shiziyuan9527,1828
8613,,101408117,keithc-ca,1828
8258,,1161862,pniederw,1826
10704,,36502,pclouds,1824
2296,,10637896,remkop,1823
881,,335164964,jinlong-T,1807
3650,,38602457,andimarek,1804
2037,,60561834,alperozturk96,1800
2085,,12983151,cdjackson,1797
1480,,764708,darranl,1764
